,year,month,temperature,quantile_score,county
0,2018,1,10.601055533229726,0.0,San Joaquin
1,2018,2,10.66510537427706,0.0,San Joaquin
2,2018,3,12.59980760802472,0.0,San Joaquin
3,2018,4,15.99812058001362,0.041533924119173365,San Joaquin
4,2018,5,19.040211490565014,0.043045629506322534,San Joaquin
5,2018,6,23.009237892409715,0.060676748872765564,San Joaquin
6,2018,7,24.888037774630504,0.06475452657588136,San Joaquin
7,2018,8,22.47519196783867,0.05419837255522213,San Joaquin
8,2018,9,20.790068282678988,0.05352819948398023,San Joaquin
9,2018,10,18.157066183601785,0.057598240496394684,San Joaquin
10,2018,11,12.76198280761281,0.04725558762525967,San Joaquin
11,2018,12,9.870747778939062,0.0692585163272924,San Joaquin
12,2019,1,10.77539429271502,0.0,San Joaquin
13,2019,2,9.358630399921084,0.0,San Joaquin
14,2019,3,12.73359770788494,0.0,San Joaquin
15,2019,4,17.17964999326574,0.044530145438775585,San Joaquin
16,2019,5,17.26301460308548,0.041719186106514344,San Joaquin
17,2019,6,23.956190446576045,0.0614163288967041,San Joaquin
18,2019,7,24.31150668090521,0.06028992708714901,San Joaquin
19,2019,8,25.019124723390743,0.06287632065441003,San Joaquin
20,2019,9,22.47716846545456,0.052720569932935245,San Joaquin
21,2019,10,17.357526888306836,0.052575260639198845,San Joaquin
22,2019,11,12.667937069653306,0.046040896118992196,San Joaquin
23,2019,12,10.818315574808764,0.05889465304753404,San Joaquin
24,2020,1,9.668841891148588,0.0,San Joaquin
25,2020,2,12.0064451793192,0.0,San Joaquin
26,2020,3,12.538732160802397,0.0,San Joaquin
27,2020,4,16.578013025909286,0.04478417299551957,San Joaquin
28,2020,5,21.124106947304146,0.046825919963108066,San Joaquin
29,2020,6,23.83883922466407,0.06345407441897634,San Joaquin
30,2020,7,23.82619249676827,0.05931079452261689,San Joaquin
31,2020,8,25.642774612521293,0.08117190982699968,San Joaquin
32,2020,9,23.20443135979383,0.054440178140851773,San Joaquin
33,2020,10,19.665738632464524,0.07392764348110921,San Joaquin
34,2020,11,11.68243362122564,0.057736054429755504,San Joaquin
35,2020,12,9.107163091400992,0.06256602582722258,San Joaquin
36,2021,1,9.961525068876142,0.0,San Joaquin
37,2021,2,11.639395559282889,0.0,San Joaquin
38,2021,3,12.479057985336851,0.0,San Joaquin
39,2021,4,16.525153763900562,0.05026753743713058,San Joaquin
40,2021,5,20.3310128607526,0.05638594460726353,San Joaquin
41,2021,6,23.390079127263,0.06257264285197027,San Joaquin
42,2021,7,24.83082807122247,0.06602280083690798,San Joaquin
43,2021,8,23.71210544793212,0.0588840454457929,San Joaquin
44,2021,9,22.02829748129949,0.050572554833352455,San Joaquin
45,2021,10,16.970893110239842,0.04398675147479117,San Joaquin
46,2021,11,12.773815008662552,0.05129238456501701,San Joaquin
47,2021,12,8.77699700851963,0.059091124917974754,San Joaquin
48,2022,1,9.206453426215262,0.0,San Joaquin
49,2022,2,10.581955372675282,0.0,San Joaquin
50,2022,3,14.522868210294234,0.0,San Joaquin
51,2022,4,16.410126520043434,0.042593274987342375,San Joaquin
52,2022,5,20.127857443321545,0.05462996535623144,San Joaquin
53,2022,6,24.16793424564344,0.06880495138371419,San Joaquin
54,2022,7,23.613204144421672,0.059251792132155014,San Joaquin
55,2022,8,24.40395966194604,0.05988554096449375,San Joaquin
56,2022,9,23.617279735008367,0.05603774937835997,San Joaquin
57,2022,10,18.127065697282603,0.0444929625566029,San Joaquin
58,2022,11,10.09809127626329,0.06614580737181296,San Joaquin
59,2022,12,8.351540304909463,0.0600976388972592,San Joaquin
60,2023,1,10.06299614806204,0.0,San Joaquin
61,2023,2,8.926023237514244,0.0,San Joaquin
62,2023,3,10.924762160340949,0.0,San Joaquin
63,2023,4,15.370078358614649,0.042384165180940424,San Joaquin
64,2023,5,17.710398622456296,0.04345591076434908,San Joaquin
65,2023,6,20.34256521879695,0.04963019213804826,San Joaquin
66,2023,7,24.43375894182504,0.06174200251818273,San Joaquin
67,2023,8,25.05720916607646,0.06980485330209998,San Joaquin
68,2023,9,21.28914721310241,0.04645706484454241,San Joaquin
69,2023,10,18.69010891422124,0.044372668798747315,San Joaquin
70,2023,11,13.0763290894468,0.06579688013920208,San Joaquin
71,2023,12,10.92861931810495,0.053356077055494056,San Joaquin
72,2024,1,,,San Joaquin
73,2024,2,,,San Joaquin
74,2024,3,,,San Joaquin
75,2024,4,,,San Joaquin
76,2024,5,,,San Joaquin
77,2024,6,,,San Joaquin
78,2024,7,,,San Joaquin
79,2024,8,,,San Joaquin
80,2024,9,,,San Joaquin
81,2024,10,,,San Joaquin
82,2024,11,,,San Joaquin
83,2024,12,,,San Joaquin
