,year,month,temperature,quantile_score,county
0,2018,1,11.040057229454362,0.0,Stanislaus
1,2018,2,10.513326613377105,0.0,Stanislaus
2,2018,3,12.447957095794608,0.0,Stanislaus
3,2018,4,16.419432019928934,0.117568304202828,Stanislaus
4,2018,5,19.729926376221783,0.09166893609411855,Stanislaus
5,2018,6,24.22310509322909,0.07929763844475761,Stanislaus
6,2018,7,27.508882893500697,0.14112415349844717,Stanislaus
7,2018,8,24.6242170736038,0.116188996626751,Stanislaus
8,2018,9,22.259479771621105,0.20314171668163267,Stanislaus
9,2018,10,18.635710104231407,0.09974876589338524,Stanislaus
10,2018,11,12.97359942682749,0.09417627235939727,Stanislaus
11,2018,12,9.81809627770474,0.128544235553832,Stanislaus
12,2019,1,10.72196158668146,0.0,Stanislaus
13,2019,2,8.967810956795802,0.0,Stanislaus
14,2019,3,12.533776236687345,0.0,Stanislaus
15,2019,4,17.475120014151628,0.2745263667499429,Stanislaus
16,2019,5,17.835808034312493,0.4100653164365019,Stanislaus
17,2019,6,25.178464929160043,0.171040344834474,Stanislaus
18,2019,7,26.23105444474305,0.17575804137506795,Stanislaus
19,2019,8,26.766334876715973,0.17366392183179882,Stanislaus
20,2019,9,23.289506010568743,0.08716819680065283,Stanislaus
21,2019,10,17.489466892740438,0.18988106176435765,Stanislaus
22,2019,11,12.96774045708412,0.11270180973361285,Stanislaus
23,2019,12,10.664385956668127,0.25055390977065783,Stanislaus
24,2020,1,9.554082430387098,0.0,Stanislaus
25,2020,2,12.275389677982048,0.0,Stanislaus
26,2020,3,12.507729097177446,0.0,Stanislaus
27,2020,4,16.599417968351474,0.10949728141045152,Stanislaus
28,2020,5,21.638026919104448,0.24714300162695713,Stanislaus
29,2020,6,24.80545429852748,0.09036976809721613,Stanislaus
30,2020,7,26.24771224385188,0.09347562108141473,Stanislaus
31,2020,8,27.73550791488861,0.3626144207777176,Stanislaus
32,2020,9,24.772663441648604,0.22850949717879931,Stanislaus
33,2020,10,20.51017619193459,0.3069366049137046,Stanislaus
34,2020,11,12.071475029197131,0.1128118141295281,Stanislaus
35,2020,12,9.347223622918987,0.10642423760899182,Stanislaus
36,2021,1,10.059577104554023,0.0,Stanislaus
37,2021,2,11.414284891463469,0.0,Stanislaus
38,2021,3,12.236804017745214,0.0,Stanislaus
39,2021,4,16.996227254933274,0.1180936817343826,Stanislaus
40,2021,5,20.977164956571244,0.13665119736030898,Stanislaus
41,2021,6,25.043183602647844,0.16635801165854366,Stanislaus
42,2021,7,27.535112323479662,0.14647403574152487,Stanislaus
43,2021,8,25.956538805459616,0.0803428809435735,Stanislaus
44,2021,9,23.71259915896036,0.07530061419734037,Stanislaus
45,2021,10,17.33823323480277,0.20329941220877293,Stanislaus
46,2021,11,13.221782115567464,0.10016686129147302,Stanislaus
47,2021,12,8.98890396851914,0.09743022501321104,Stanislaus
48,2022,1,9.473778449907796,0.0,Stanislaus
49,2022,2,10.941286632941228,0.0,Stanislaus
50,2022,3,14.84975094149894,0.0,Stanislaus
51,2022,4,16.678622865329316,0.07982588699520908,Stanislaus
52,2022,5,20.50352461236713,0.08319126867085633,Stanislaus
53,2022,6,25.333364328257574,0.16971867854137326,Stanislaus
54,2022,7,26.33389008043423,0.0978083608105672,Stanislaus
55,2022,8,26.898889419211,0.14471203735613347,Stanislaus
56,2022,9,25.224825543076804,0.22309197422037408,Stanislaus
57,2022,10,19.366241921231165,0.09448684151556198,Stanislaus
58,2022,11,10.111140951800962,0.5838701799688324,Stanislaus
59,2022,12,8.462851174013167,0.14320585699236008,Stanislaus
60,2023,1,9.659153629476464,0.0,Stanislaus
61,2023,2,8.874113470652276,0.0,Stanislaus
62,2023,3,10.692027193918875,0.0,Stanislaus
63,2023,4,15.81346534125197,0.08597633825822039,Stanislaus
64,2023,5,19.00825179847164,0.10076827478742542,Stanislaus
65,2023,6,21.89931042701733,0.14422621078566775,Stanislaus
66,2023,7,27.211024497072685,0.12827783431628018,Stanislaus
67,2023,8,26.97915354800682,0.19119975148255647,Stanislaus
68,2023,9,22.48023893540386,0.10243704244660046,Stanislaus
69,2023,10,19.27228491473068,0.10331932426915527,Stanislaus
70,2023,11,13.39076983944102,0.09236321584824156,Stanislaus
71,2023,12,11.133419989086008,0.299805322484794,Stanislaus
72,2024,1,,,Stanislaus
73,2024,2,,,Stanislaus
74,2024,3,,,Stanislaus
75,2024,4,,,Stanislaus
76,2024,5,,,Stanislaus
77,2024,6,,,Stanislaus
78,2024,7,,,Stanislaus
79,2024,8,,,Stanislaus
80,2024,9,,,Stanislaus
81,2024,10,,,Stanislaus
82,2024,11,,,Stanislaus
83,2024,12,,,Stanislaus
