,year,month,temperature,quantile_score,county
0,2018,1,11.541756502600265,0.0,Merced
1,2018,2,11.139705428902744,0.0,Merced
2,2018,3,13.01099468874554,0.0,Merced
3,2018,4,17.398993035338492,0.13219821886487526,Merced
4,2018,5,20.27765399315149,0.1050824753312688,Merced
5,2018,6,24.669034678427124,0.11763544149097985,Merced
6,2018,7,28.58677118316257,0.2524034163235353,Merced
7,2018,8,25.675115413438505,0.10301971169775065,Merced
8,2018,9,23.09011086334232,0.14743766205089245,Merced
9,2018,10,19.17372168343468,0.11965332678474865,Merced
10,2018,11,13.376033035497926,0.1401244277450071,Merced
11,2018,12,9.97768871378861,0.19024074994846296,Merced
12,2019,1,10.88851258130859,0.0,Merced
13,2019,2,9.384349537017329,0.0,Merced
14,2019,3,13.080606415454495,0.0,Merced
15,2019,4,18.54467012902625,0.3726452409076608,Merced
16,2019,5,18.687100244866144,0.25676832689919016,Merced
17,2019,6,25.96607662845355,0.24717947101397258,Merced
18,2019,7,26.8732808370612,0.14327125754734002,Merced
19,2019,8,27.331818964768217,0.19378786092559744,Merced
20,2019,9,23.87419777597154,0.11584452771790935,Merced
21,2019,10,17.797439879763147,0.25714724509616943,Merced
22,2019,11,13.247375748399236,0.11845865096320705,Merced
23,2019,12,10.843132921581343,0.20372801033855092,Merced
24,2020,1,9.683015276386698,0.0,Merced
25,2020,2,12.546940924078513,0.0,Merced
26,2020,3,13.058005196118756,0.0,Merced
27,2020,4,17.2624917066463,0.1676973804053666,Merced
28,2020,5,22.159547806235025,0.22695543968894868,Merced
29,2020,6,25.07997263277668,0.12834871632754163,Merced
30,2020,7,26.91525616871445,0.09817450089409607,Merced
31,2020,8,28.31373729485813,0.37213782470865736,Merced
32,2020,9,25.251811927392907,0.24957757973659417,Merced
33,2020,10,20.80319654497282,0.28598989575473494,Merced
34,2020,11,12.471723770543631,0.16203017817487397,Merced
35,2020,12,9.611630704487936,0.1292959778054765,Merced
36,2021,1,10.31936548288843,0.0,Merced
37,2021,2,11.654070874353351,0.0,Merced
38,2021,3,12.626959067205576,0.0,Merced
39,2021,4,17.360601296423454,0.18722232041766984,Merced
40,2021,5,21.113949209001703,0.12803165287126023,Merced
41,2021,6,25.667210114688714,0.2612155458180263,Merced
42,2021,7,28.33364728406036,0.1773450704081552,Merced
43,2021,8,26.813096613600464,0.13886862531573174,Merced
44,2021,9,24.384252122499102,0.12939091264811034,Merced
45,2021,10,17.822873352193994,0.2538479843646254,Merced
46,2021,11,13.816422736940469,0.10358266694860233,Merced
47,2021,12,9.402712394753737,0.10357490607653194,Merced
48,2022,1,9.856999011797882,0.0,Merced
49,2022,2,11.37943865647526,0.0,Merced
50,2022,3,15.246923879851806,0.0,Merced
51,2022,4,17.217572697283174,0.11861573235262976,Merced
52,2022,5,20.94191059870485,0.1093417850471156,Merced
53,2022,6,25.864901163712545,0.24886562668673232,Merced
54,2022,7,27.368340182503857,0.10714300235152889,Merced
55,2022,8,27.820412854038125,0.24278819598363324,Merced
56,2022,9,25.885337205033125,0.3745747934099244,Merced
57,2022,10,19.94370189637772,0.12968180958349265,Merced
58,2022,11,10.58055006741813,0.3900561219371541,Merced
59,2022,12,8.9181054001441,0.1394086187219684,Merced
60,2023,1,9.906192071485124,0.0,Merced
61,2023,2,9.149955851105515,0.0,Merced
62,2023,3,11.140321123864055,0.0,Merced
63,2023,4,16.41441016377314,0.10542266452337787,Merced
64,2023,5,19.760976180551097,0.11735493771897872,Merced
65,2023,6,22.502189409101447,0.1772065177711164,Merced
66,2023,7,28.01281515268965,0.1438157695377489,Merced
67,2023,8,27.475738601157104,0.21925282375615926,Merced
68,2023,9,23.20081417194353,0.1131628813614107,Merced
69,2023,10,19.76352391145565,0.12909130504884828,Merced
70,2023,11,13.928286884333716,0.11023589453986413,Merced
71,2023,12,11.402871879160957,0.34897103924751205,Merced
72,2024,1,,,Merced
73,2024,2,,,Merced
74,2024,3,,,Merced
75,2024,4,,,Merced
76,2024,5,,,Merced
77,2024,6,,,Merced
78,2024,7,,,Merced
79,2024,8,,,Merced
80,2024,9,,,Merced
81,2024,10,,,Merced
82,2024,11,,,Merced
83,2024,12,,,Merced
